Source,Domain,Base Domain,Canonical URL,Live,Redirect,Redirect To
EoT,2007annualreport.nichd.nih.gov,nih.gov,http://2007annualreport.nichd.nih.gov,True,False,
EoT,2008annualreport.nichd.nih.gov,nih.gov,http://2008annualreport.nichd.nih.gov,True,False,
DAP,2009-2017-fpc.state.gov,state.gov,https://2009-2017-fpc.state.gov,True,False,
Censys,2009-2017.pepfar.gov,pepfar.gov,https://2009-2017.pepfar.gov,True,False,
DAP,2009-2017.state.gov,state.gov,https://2009-2017.state.gov,True,False,
EoT,2009annualreport.nichd.nih.gov,nih.gov,http://2009annualreport.nichd.nih.gov,True,False,
EoT,2010-2014.commerce.gov,commerce.gov,http://2010-2014.commerce.gov,True,False,
EoT,2010annualreport.nichd.nih.gov,nih.gov,http://2010annualreport.nichd.nih.gov,True,False,
EoT,2011annualreport.nichd.nih.gov,nih.gov,http://2011annualreport.nichd.nih.gov,True,False,
EoT,2012annualreport.nichd.nih.gov,nih.gov,http://2012annualreport.nichd.nih.gov,True,False,
EoT,2013annualreport.nichd.nih.gov,nih.gov,http://2013annualreport.nichd.nih.gov,True,False,
EoT,2016.export.gov,export.gov,http://2016.export.gov,True,False,
DAP,20watersheds.epa.gov,epa.gov,https://20watersheds.epa.gov,True,False,
Censys,21apr.ed.gov,ed.gov,https://21apr.ed.gov,True,False,
EoT,222.adlnet.gov,adlnet.gov,http://222.adlnet.gov,True,False,
EoT,263.usajobs.gov,usajobs.gov,https://263.usajobs.gov,True,False,
EoT,2fwww.usich.gov,usich.gov,http://2fwww.usich.gov,True,False,
EoT,2nd-joint-icfa-icuil-workshop.lbl.gov,lbl.gov,http://2nd-joint-icfa-icuil-workshop.lbl.gov,True,False,
EoT,2www.adlnet.gov,adlnet.gov,http://2www.adlnet.gov,True,False,
EoT,338.gp5.pawg.cap.gov,cap.gov,http://338.gp5.pawg.cap.gov,True,False,
Censys,360.dea.gov,dea.gov,https://360.dea.gov,True,False,
EoT,382reporting.ost.dot.gov,dot.gov,http://382reporting.ost.dot.gov,True,False,
EoT,3d.wr.usgs.gov,usgs.gov,http://3d.wr.usgs.gov,True,False,
Censys,3dmaggs.larc.nasa.gov,nasa.gov,https://3dmaggs.larc.nasa.gov,True,False,
EoT,3dparks.wr.usgs.gov,usgs.gov,https://3dparks.wr.usgs.gov,True,False,
EoT,3dprint.nih.gov,nih.gov,https://3dprint.nih.gov,True,False,
EoT,3dprinting.sandia.gov,sandia.gov,http://3dprinting.sandia.gov,True,False,
EoT,3dr.adlnet.gov,adlnet.gov,http://3dr.adlnet.gov,True,False,
EoT,3dvcell.ncbi.nlm.nih.gov,nih.gov,https://3dvcell.ncbi.nlm.nih.gov,True,False,
EoT,3lzbivapdo.adlnet.gov,adlnet.gov,http://3lzbivapdo.adlnet.gov,True,False,
EoT,3pdp.fmcsa.dot.gov,dot.gov,https://3pdp.fmcsa.dot.gov,True,False,
EoT,50.neh.gov,neh.gov,https://50.neh.gov,True,False,
EoT,508.hhs.gov,hhs.gov,http://508.hhs.gov,True,False,
EoT,508.nih.gov,nih.gov,https://508.nih.gov,True,False,
EoT,508.samhsa.gov,samhsa.gov,http://508.samhsa.gov,True,False,
EoT,52weeks4women.sites.usa.gov,usa.gov,https://52weeks4women.sites.usa.gov,True,False,
EoT,58000.nih.gov,nih.gov,https://58000.nih.gov,True,False,
Censys,5gmm.nist.gov,nist.gov,http://5gmm.nist.gov,True,False,
EoT,5thbday.usaid.gov,usaid.gov,http://5thbday.usaid.gov,True,False,
EoT,60plus.smokefree.gov,smokefree.gov,https://60plus.smokefree.gov,True,False,
EoT,7-seas.gsfc.nasa.gov,nasa.gov,http://7-seas.gsfc.nasa.gov,True,False,
EoT,72a.gsa.gov,gsa.gov,https://72a.gsa.gov,True,False,
HTTPS,9-11commission.gov,9-11commission.gov,https://9-11commission.gov,True,False,
HTTPS,911.gov,911.gov,https://www.911.gov,True,False,
HTTPS,911commission.gov,911commission.gov,https://911commission.gov,True,False,
EoT,a-76.nih.gov,nih.gov,http://a-76.nih.gov,True,False,
Censys,a-acano-webrtc.senate.gov,senate.gov,https://a-acano-webrtc.senate.gov,True,False,
Censys,a-ta-expresse1.senate.gov,senate.gov,https://a-ta-expresse1.senate.gov,True,False,
EoT,a.ncbi.nlm.nih.gov,nih.gov,http://a.ncbi.nlm.nih.gov,True,False,
EoT,a130.cio.gov,cio.gov,http://a130.cio.gov,True,False,
Censys,a2e.energy.gov,energy.gov,https://a2e.energy.gov,True,False,
Censys,a2zcm1.nara.gov,nara.gov,http://a2zcm1.nara.gov,True,False,
Censys,a2zcm5.nara.gov,nara.gov,http://a2zcm5.nara.gov,True,False,
EoT,aaap.gsa.gov,gsa.gov,https://aaap.gsa.gov,True,False,
EoT,aab.larc.nasa.gov,nasa.gov,https://aab.larc.nasa.gov,True,False,
EoT,aac.va.gov,va.gov,http://www.aac.va.gov,True,False,
Censys,aacinquiry.fas.gsa.gov,gsa.gov,http://aacinquiry.fas.gsa.gov,True,False,
EoT,aad.archives.gov,archives.gov,https://aad.archives.gov,True,False,
EoT,aasis.omha.hhs.gov,hhs.gov,https://aasis.omha.hhs.gov,True,False,
Censys,aasm.sc.egov.usda.gov,usda.gov,http://aasm.sc.egov.usda.gov,True,False,
EoT,aawu.arh.noaa.gov,noaa.gov,http://aawu.arh.noaa.gov,True,False,
HTTPS,abandonedmines.gov,abandonedmines.gov,http://www.abandonedmines.gov,True,False,
EoT,abarrslite.ofac.treas.gov,treas.gov,https://abarrslite.ofac.treas.gov,True,False,
Censys,abarrsliteuat.ofac.treas.gov,treas.gov,http://abarrsliteuat.ofac.treas.gov,True,False,
Censys,abcd.nih.gov,nih.gov,https://abcd.nih.gov,True,False,
