Domain,Base Domain,Canonical URL,Agency,Branch
upaya-sp-demo.18f.gov,18f.gov,https://upaya-sp-demo.18f.gov,General Services Administration,Executive
upaya-sp-dev.18f.gov,18f.gov,https://upaya-sp-dev.18f.gov,General Services Administration,Executive
upaya-sp-qa.18f.gov,18f.gov,https://upaya-sp-qa.18f.gov,General Services Administration,Executive
www.federalist-docs.18f.gov,18f.gov,http://www.www.federalist-docs.18f.gov,General Services Administration,Executive
www.munki.18f.gov,18f.gov,http://www.www.munki.18f.gov,General Services Administration,Executive
www.staging.18f.gov,18f.gov,http://www.www.staging.18f.gov,General Services Administration,Executive
9-11commission.gov,9-11commission.gov,https://9-11commission.gov,National Archives and Records Administration,Executive
911.gov,911.gov,https://www.911.gov,Department of Transportation,Executive
resourcecenter.911.gov,911.gov,https://resourcecenter.911.gov,Department of Transportation,Executive
911commission.gov,911commission.gov,https://911commission.gov,National Archives and Records Administration,Executive
abandonedmines.gov,abandonedmines.gov,http://www.abandonedmines.gov,Department of the Interior,Executive
abilityone.gov,abilityone.gov,http://abilityone.gov,Comm for People Who Are Blind/Severly Disabled,Executive
autodiscover.abilityone.gov,abilityone.gov,http://autodiscover.abilityone.gov,Comm for People Who Are Blind/Severly Disabled,Executive
distributor.abilityone.gov,abilityone.gov,http://distributor.abilityone.gov,Comm for People Who Are Blind/Severly Disabled,Executive
jwodmail.abilityone.gov,abilityone.gov,http://jwodmail.abilityone.gov,Comm for People Who Are Blind/Severly Disabled,Executive
jwodvmsec.abilityone.gov,abilityone.gov,http://jwodvmsec.abilityone.gov,Comm for People Who Are Blind/Severly Disabled,Executive
plimsvote.abilityone.gov,abilityone.gov,http://plimsvote.abilityone.gov,Comm for People Who Are Blind/Severly Disabled,Executive
abmc.gov,abmc.gov,https://abmc.gov,American Battle Monuments Commission,Executive
mail2.abmc.gov,abmc.gov,http://mail2.abmc.gov,American Battle Monuments Commission,Executive
webmail.abmc.gov,abmc.gov,http://webmail.abmc.gov,American Battle Monuments Commission,Executive
access-board.gov,access-board.gov,https://www.access-board.gov,U. S. Access Board,Executive
achp.gov,achp.gov,http://achp.gov,Advisory Council on Historic Preservation,Executive
vpn.achp.gov,achp.gov,http://vpn.achp.gov,Advisory Council on Historic Preservation,Executive
acl.gov,acl.gov,https://acl.gov,Department of Health And Human Services,Executive
adrc-tae.acl.gov,acl.gov,https://www.adrc-tae.acl.gov,Department of Health And Human Services,Executive
agid.acl.gov,acl.gov,http://www.agid.acl.gov,Department of Health And Human Services,Executive
alzheimers.acl.gov,acl.gov,https://alzheimers.acl.gov,Department of Health And Human Services,Executive
aoa.acl.gov,acl.gov,https://aoa.acl.gov,Department of Health And Human Services,Executive
apps.acl.gov,acl.gov,https://apps.acl.gov,Department of Health And Human Services,Executive
brainhealth.acl.gov,acl.gov,https://brainhealth.acl.gov,Department of Health And Human Services,Executive
data.acl.gov,acl.gov,https://data.acl.gov,Department of Health And Human Services,Executive
icdr.acl.gov,acl.gov,http://icdr.acl.gov,Department of Health And Human Services,Executive
icdrteam.acl.gov,acl.gov,https://www.icdrteam.acl.gov,Department of Health And Human Services,Executive
mis.acl.gov,acl.gov,https://mis.acl.gov,Department of Health And Human Services,Executive
nadrc.acl.gov,acl.gov,https://nadrc.acl.gov,Department of Health And Human Services,Executive
ncea.acl.gov,acl.gov,https://ncea.acl.gov,Department of Health And Human Services,Executive
nlrc.acl.gov,acl.gov,https://nlrc.acl.gov,Department of Health And Human Services,Executive
oam.acl.gov,acl.gov,https://oam.acl.gov,Department of Health And Human Services,Executive
olderindians.acl.gov,acl.gov,https://olderindians.acl.gov,Department of Health And Human Services,Executive
shipnpr.acl.gov,acl.gov,https://shipnpr.acl.gov,Department of Health And Human Services,Executive
stg.adrc-tae.acl.gov,acl.gov,http://stg.adrc-tae.acl.gov,Department of Health And Human Services,Executive
www.adrc-tae.acl.gov,acl.gov,http://www.adrc-tae.acl.gov,Department of Health And Human Services,Executive
www.agid.acl.gov,acl.gov,http://www.agid.acl.gov,Department of Health And Human Services,Executive
www.aoa.acl.gov,acl.gov,http://www.aoa.acl.gov,Department of Health And Human Services,Executive
www.brainhealth.acl.gov,acl.gov,http://www.brainhealth.acl.gov,Department of Health And Human Services,Executive
www.data.acl.gov,acl.gov,http://www.data.acl.gov,Department of Health And Human Services,Executive
www.icdr.acl.gov,acl.gov,http://www.icdr.acl.gov,Department of Health And Human Services,Executive
www.icdrteam.acl.gov,acl.gov,https://www.icdrteam.acl.gov,Department of Health And Human Services,Executive
www.mis.acl.gov,acl.gov,http://www.mis.acl.gov,Department of Health And Human Services,Executive
www.nadrc.acl.gov,acl.gov,http://www.nadrc.acl.gov,Department of Health And Human Services,Executive
www.ncea.acl.gov,acl.gov,http://www.ncea.acl.gov,Department of Health And Human Services,Executive
www.olderindians.acl.gov,acl.gov,http://www.olderindians.acl.gov,Department of Health And Human Services,Executive
www.shipnpr.acl.gov,acl.gov,https://www.shipnpr.acl.gov,Department of Health And Human Services,Executive
acquisition.gov,acquisition.gov,https://www.acquisition.gov,General Services Administration,Executive
acus.gov,acus.gov,https://www.acus.gov,Administrative Conference of the United States,Executive
acwi.gov,acwi.gov,https://acwi.gov,Department of the Interior,Executive
ada.gov,ada.gov,https://www.ada.gov,Department of Justice,Executive
search.ada.gov,ada.gov,https://search.ada.gov,Department of Justice,Executive
adf.gov,adf.gov,http://adf.gov,African Development Foundation,Executive
0sud2zwje3.adlnet.gov,adlnet.gov,http://0sud2zwje3.adlnet.gov,Department of Defense,Executive
222.adlnet.gov,adlnet.gov,http://222.adlnet.gov,Department of Defense,Executive
2www.adlnet.gov,adlnet.gov,http://2www.adlnet.gov,Department of Defense,Executive
3dr.adlnet.gov,adlnet.gov,http://3dr.adlnet.gov,Department of Defense,Executive
3lzbivapdo.adlnet.gov,adlnet.gov,http://3lzbivapdo.adlnet.gov,Department of Defense,Executive
abpxnd1ery.adlnet.gov,adlnet.gov,http://abpxnd1ery.adlnet.gov,Department of Defense,Executive
adlnet.gov,adlnet.gov,https://www.adlnet.gov,Department of Defense,Executive
adlregistry.adlnet.gov,adlnet.gov,http://www.adlregistry.adlnet.gov,Department of Defense,Executive
adlx.adlnet.gov,adlnet.gov,http://www.adlx.adlnet.gov,Department of Defense,Executive
